id,Easy1_pupil,Easy1_FixationDuration,Easy1_HighEngagement,Easy1_LowEngagement,Easy1_Distraction,Easy1_Drowsy,Easy1_WorkloadAverage,Easy2_pupil,Easy2_FixationDuration,Easy2_HighEngagement,Easy2_LowEngagement,Easy2_Distraction,Easy2_Drowsy,Easy2_WorkloadAverage,Moderate_pupil,Moderate_FixationDuration,Moderate_HighEngagement,Moderate_LowEngagement,Moderate_Distraction,Moderate_Drowsy,Moderate_WorkloadAverage,Difficult_pupil,Difficult_FixationDuration,Difficult_HighEngagement,Difficult_LowEngagement,Difficult_Distraction,Difficult_Drowsy,Difficult_WorkloadAverage,Posttest_pupil,Posttest_FixationDuration,Posttest_HighEngagement,Posttest_LowEngagement,Posttest_Distraction,Posttest_Drowsy,Posttest_WorkloadAverage,WMC_pupil,WMC_FixationDuration,WMC_HighEngagement,WMC_LowEngagement,WMC_Distraction,WMC_Drowsy,WMC_WorkloadAverage,Age,Gender,output
N097,2.99615476579708,397.50503023716,0.346714888723479,0.562740640384668,0.0860157321670153,0.00452883823856999,0.61065743323234,2.91163501540374,474.782202649096,0.227232637980618,0.66896435306087,0.101211537418473,0.00259155281778029,0.66304589648399,2.91730219336647,454.250603467193,0.308526939324151,0.592164927074279,0.0877834393823985,0.0115247353418225,0.623469513548234,2.9858954830329,443.917704609595,0.376175791782854,0.548549073524521,0.0637692282227737,0.0115059921461281,0.628180583749109,2.50200444942036,291.246500399458,0.134378820463287,0.693579492211838,0.167137480673176,0.00230240195617745,0.640421380367882,2.49877997542183,433.147574412522,0.372012879717297,0.430357552457687,0.134463616940452,0.0141476233006238,0.60911997082925,20,FEMALE,0
N016,3.75033808399393,312.059308286289,0.229808973457669,0.39571303516102,0.0289600355546136,0.314434251324594,0.641152989939021,3.7265669971026,340.038277511962,0.339920221076322,0.403192827252584,0.034815666987622,0.222071420076333,0.648839846515711,3.7446957045085,329.589658288945,0.264676574691182,0.423962336733648,0.0273507009164911,0.241977131394091,0.645263065223885,3.70625469443557,304.852567167033,0.24362074493252,0.360096071361576,0.0132290612656975,0.375055653835131,0.693421638136572,2.89866308858412,219.02893090874,0.271266876790173,0.491175009627484,0.039599126026166,0.167358829072206,0.647200507759178,2.77303929723217,343.578828858807,0.335081347668704,0.511206823019757,0.0423921261597922,0.0978986540540467,0.632095690975748,25,MALE,1
N056,3.52766795519363,373.914651669249,0.370550245825747,0.467732668720726,0.00044185686164667,0.161275296819321,0.537936172437841,3.43711150920115,280.04015707792,0.352764230464448,0.403722408118894,0.000114321036746721,0.243399136516428,0.503810670382875,3.42194003130267,274.953730079298,0.301494232332893,0.445860283888206,0.003361205037118,0.249284324254983,0.529112926064876,3.42564200327018,425.033702568937,0.40933362029652,0.325546285494705,0.000302468829046898,0.264817680738275,0.519000745374065,2.7751190573634,301.474697825745,0.491518010391883,0.384595047323745,0.0024439064960781,0.12144309150076,0.544502971011798,2.67443404783878,331.099683778843,0.592362149781021,0.354727405167702,0.0036217761853419,0.0459267590008829,0.556152516687711,29,MALE,1
N020,3.0051840619134,559.765412530241,0.325220452163345,0.490933804824988,0.00622237156052503,0.177623453147788,0.591074478758455,2.81353988736542,575.391862765687,0.325385328246822,0.499292135324056,8.7328840145735e-07,0.175321714463182,0.592938143749238,2.8024994261288,668.221009958809,0.266445401323786,0.565336653772689,8.53529586010358e-06,0.168209504264512,0.581024965471942,2.84045127174467,929.322788789253,0.273880570837699,0.483549349404401,2.94352837368334e-08,0.242570058884354,0.624903297620361,2.52067390118554,443.899312009321,0.301540436914405,0.559726747971564,1.89645102102039e-05,0.134360533616582,0.608810473519225,2.44348601919748,853.127158664584,0.49481474673335,0.449326254879434,0.00214749150779997,0.0532607274628398,0.528161446387223,19,MALE,0
N061,3.37738961729193,435.903683911397,0.376879849512211,0.39308807823762,0.224992708235885,0.00140273055872906,0.675724160876482,3.34160855694157,439.868601867199,0.354067259453844,0.382694915437796,0.261345009719519,0.00189288444041123,0.658230913617679,3.3216402737407,396.942862967692,0.381488299753391,0.411380984569315,0.206549603188304,0.000581216487581469,0.665876747745288,3.22994670014005,375.443209399824,0.357982984458896,0.412106738391418,0.229706591562448,0.000203814407203602,0.680914090733482,2.774054343183,398.660297880307,0.391888176672019,0.393355705265818,0.214433256288654,0.000322926245837298,0.644033257968601,3.43529503664048,681.170011148272,0.42428934396491,0.362924641360264,0.211351676449884,0.00143448703092002,0.620737506362701,20,FEMALE,0
N014,2.91787730907352,511.730737027416,0.418186287722743,0.261720436741674,0.170737654152213,0.149355714440626,0.478913561927089,2.92015075758939,519.655046071247,0.407896515368207,0.200408636689776,0.138917339530712,0.223471326125951,0.514809824941719,2.83099672395192,451.361250390561,0.371428358309719,0.239499612112981,0.15095206111336,0.238120051541545,0.499150728862077,2.86703096404166,627.825156430593,0.445276067724326,0.236178726305015,0.154739512323439,0.161710921050836,0.505142767145112,2.40216651921212,565.08479419839,0.390775244099164,0.265470207829497,0.19329612398118,0.140637360243016,0.487913190750655,2.46568996716693,669.491643082703,0.348358695457401,0.22831147294222,0.240100986787946,0.156598182830804,0.489369889031588,19,MALE,1
N026,3.58495770712369,228.854958279313,0.618941923655521,0.329243543916721,0.000166577272799403,0.0516479496485075,0.420710710920597,3.3867546056177,259.680973929488,0.620127963895702,0.328169905497127,0.00247180958301132,0.0492303745337858,0.433851584604753,3.36547748134061,338.726129357145,0.603133250664366,0.30816218742019,0.000163590905953408,0.0831225688869715,0.431171435988471,3.33627289455192,347.737654575433,0.621963177214138,0.277091330504368,0.000201957731659029,0.100743585429675,0.434774452448012,2.74116636050648,190.338996444093,0.607163747592863,0.351034806128502,0.00200673484986766,0.0397947652984394,0.444442059023614,2.60883364452713,286.438284057498,0.635430941539885,0.305111419058001,0.0100483458279745,0.0489325233664795,0.442709661387204,24,MALE,1
N063,3.53404527169927,489.060288876383,0.496816700934717,0.494096674857134,2.78337295668995e-05,0.00459936635607862,0.636198338852014,3.41250399773816,505.535171951764,0.477467105124281,0.501728557654758,0.0041987982127465,0.000597748922546485,0.624164449976003,3.34750261858134,550.557351024364,0.508976009451293,0.482699040920103,0.0041587201751817,6.63051968797423e-05,0.590355530545703,3.36844223579683,504.835156585157,0.461863258121273,0.532097837861614,0.00312940166499982,8.51873819313257e-05,0.632237014621798,2.8856647455871,316.277375150985,0.461787396239014,0.520518955303291,0.0144257955583319,2.60797216956746e-05,0.596902233342619,2.82844785844165,459.239020561281,0.516282561469979,0.452971072334386,0.0213834554501424,0.00018537742894012,0.577279145015032,29,FEMALE,0
N018,3.53954356636211,418.922248310436,0.266699628349602,0.641148490144349,0.0688806418196208,0.00907767056118794,0.617705400702553,3.57614250621276,458.343259305599,0.301347457921885,0.625483579647636,0.0731682852584717,7.04324467481366e-07,0.610371963106249,3.49048252914543,470.817306060892,0.285783931086995,0.612174567255555,0.0851182410263115,0.00744779601442866,0.625360508644769,3.57193048933581,587.379808853466,0.316673442743533,0.608517621583476,0.0581346724615259,0.00418894026002226,0.62810747466716,3.07908829298645,543.144921839567,0.34730307092115,0.499289670180358,0.110736579436527,0.0293749872688129,0.612278631937547,2.94421774200273,354.986513259972,0.28038378886157,0.488844874146744,0.0669810559590437,0.044010944049044,0.640000321328245,19,FEMALE,0
N067,3.06576850118758,590.582421663001,0.406445051453895,0.514021328927262,7.10792874607056e-08,0.0795336375087321,0.630424662223785,3.03764598168847,841.558142170274,0.435050136363636,0.495462316320954,2.22262707232647e-07,0.0694874327356011,0.626314782213778,3.06446148048722,407.205713833074,0.439670035706127,0.479720959461597,5.32428965541478e-09,0.0806090847141928,0.63808328244585,3.0279793211979,438.745580987438,0.403811802070906,0.50531810199714,1.16121923010373e-07,0.090870068911818,0.646620257860372,2.7213533381758,302.187422317039,0.473064866201885,0.473332722079711,0.000232418872857354,0.0533700438192692,0.649614370550975,2.60497299683263,686.953944469863,0.465529059012245,0.486492263895257,0.00679168970483552,0.0411870748533953,0.654278312997648,19,MALE,1
N100,2.84627264161028,417.87371864544,0.519255194193746,0.413749094571561,9.29127962234214e-05,0.0669028654790238,0.527684465114994,2.78713005432702,902.212151168076,0.536992205751455,0.389579578098254,0.00879399811708319,0.0646343149606299,0.485898098587904,2.81027722289499,412.078060399065,0.511133379782924,0.405874121401232,0.0014792287385092,0.0815133392297936,0.482362687561447,2.88351069013263,386.11377245509,0.514247575299216,0.378743136620648,0.00178053233259665,0.105228801641744,0.505423273844034,2.71482996312504,231.764237855946,0.723560378364116,0.275974153913808,8.44890061565523e-06,0.000457112049252419,0.508225357565012,2.51785456908538,267.90221664859,0.621101562471242,0.328602884098342,0.00931752814843371,0.0372225223036076,0.488655008138689,19,MALE,0
N025,3.42065244016409,544.786907654921,0.370705662005949,0.606023867997791,0.01414429451579,0.00912626414691057,0.501687646385585,3.21430284651796,402.911365767744,0.411412679674585,0.561090208770594,0.00341955340923866,0.0240775983952154,0.486265924555798,3.20007285775121,440.816999294635,0.451278655505051,0.538642311531986,0.00375602584175084,0.00632306978114478,0.462969128361341,3.26150983542356,390.632866129566,0.412418469327819,0.576840651866398,0.00514686872653969,0.00559410202627555,0.473345207076596,2.84757764940026,379.914372698048,0.489910919111082,0.500984588996849,0.00221746094406513,0.00688709583771009,0.50655667521345,2.70434927780635,623.632632381486,0.474165240372183,0.49150664107697,0.0172126569826467,0.0030355546081072,0.475474555746821,20,MALE,1
