id,game_time,skill_level,Easy1_pupil,Easy1_FixationDuration,Easy1_HighEngagement,Easy1_LowEngagement,Easy1_Distraction,Easy1_Drowsy,Easy1_WorkloadAverage,Easy2_pupil,Easy2_FixationDuration,Easy2_HighEngagement,Easy2_LowEngagement,Easy2_Distraction,Easy2_Drowsy,Easy2_WorkloadAverage,Moderate_pupil,Moderate_FixationDuration,Moderate_HighEngagement,Moderate_LowEngagement,Moderate_Distraction,Moderate_Drowsy,Moderate_WorkloadAverage,Difficult_pupil,Difficult_FixationDuration,Difficult_HighEngagement,Difficult_LowEngagement,Difficult_Distraction,Difficult_Drowsy,Difficult_WorkloadAverage,Posttest_pupil,Posttest_FixationDuration,Posttest_HighEngagement,Posttest_LowEngagement,Posttest_Distraction,Posttest_Drowsy,Posttest_WorkloadAverage,WMC_pupil,WMC_FixationDuration,WMC_HighEngagement,WMC_LowEngagement,WMC_Distraction,WMC_Drowsy,WMC_WorkloadAverage,Age,Gender,output,Easy2_pupilsize,Moderate_pupilsize,Difficult_pupilsize,WMC_pupilsize,Posttest_pupilsize,Posttest_fd,WMC_fd,Easy2_fd,Moderate_fd,Difficult_fd,Difficult_wl,WMC_wl,Posttest_wl,Easy2_wl,Moderate_wl,Posttest_he,WMC_he,Easy2_he,Moderate_he,Difficult_he,Difficult_dr,Easy2_dr,Moderate_dr,WMC_dr,Posttest_dr,Posttest_ds,Difficult_ds,WMC_ds,Easy2_ds,Moderate_ds,Moderate_le,Difficult_le,WMC_le,Posttest_le,Easy2_le
N063,Not at all,Not skilled,3.534045272,489.0602889,0.496816701,0.494096675,2.78e-05,0.004599366,0.636198339,3.412503998,505.535172,0.477467105,0.501728558,0.004198798,0.000597749,0.62416445,3.347502619,550.557351,0.508976009,0.482699041,0.00415872,6.63e-05,0.590355531,3.368442236,504.8351566,0.461863258,0.532097838,0.003129402,8.52e-05,0.632237015,2.885664746,316.2773752,0.461787396,0.520518955,0.014425796,2.61e-05,0.596902233,2.828447858,459.2390206,0.516282561,0.452971072,0.021383455,0.000185377,0.577279145,29,FEMALE,0,-0.121541274,-0.186542653,-0.165603036,-0.705597414,-0.648380526,172.7829137,29.8212683,-16.4748831,-61.4970621000001,-15.7748677,0.00396132400000004,0.058919194,0.039296106,0.012033889,0.045842808,0.035029305,-0.01946586,0.019349596,-0.0121593079999999,0.034953443,0.004514166,0.004001617,0.004533066,0.004413989,0.004573266,-0.014397996,-0.003101602,-0.021355655,-0.004170998,-0.00413092,0.011397634,-0.038001163,0.041125603,-0.02642228,-0.00763188300000006
N018,A few times per week,Slightly skilled,3.539543566,418.9222483,0.266699628,0.64114849,0.068880642,0.009077671,0.617705401,3.576142506,458.3432593,0.301347458,0.62548358,0.073168285,7.04e-07,0.610371963,3.490482529,470.8173061,0.285783931,0.612174567,0.085118241,0.007447796,0.625360509,3.571930489,587.3798089,0.316673443,0.608517622,0.058134672,0.00418894,0.628107475,3.079088293,543.1449218,0.347303071,0.49928967,0.110736579,0.029374987,0.612278632,2.944217742,354.9865133,0.280383789,0.488844874,0.066981056,0.044010944,0.640000321,19,FEMALE,0,0.0365989400000002,-0.049061037,0.0323869230000002,-0.595325824,-0.460455273,-124.2226735,63.935735,-39.421011,-51.8950578,-168.4575606,-0.0104020739999999,-0.02229492,0.00542676900000005,0.00733343800000008,-0.00765510799999991,-0.080603443,-0.013684161,-0.03464783,-0.019084303,-0.049973815,0.004888731,0.009076967,0.001629875,-0.034933273,-0.020297316,-0.041855937,0.01074597,0.00189958600000001,-0.00428764299999999,-0.016237599,0.028973923,0.0326308679999999,0.152303616,0.14185882,0.0156649099999999
N067,A few times per week,Not skilled,3.065768501,590.5824217,0.406445051,0.514021329,7.11e-08,0.079533638,0.630424662,3.037645982,841.5581422,0.435050136,0.495462316,2.22e-07,0.069487433,0.626314782,3.06446148,407.2057138,0.439670036,0.479720959,5.32e-09,0.080609085,0.638083282,3.027979321,438.745581,0.403811802,0.505318102,1.16e-07,0.090870069,0.646620258,2.721353338,302.1874223,0.473064866,0.473332722,0.000232419,0.053370044,0.649614371,2.604972997,686.9539445,0.465529059,0.486492264,0.00679169,0.041187075,0.654278313,19,MALE,1,-0.0281225190000001,-0.00130702100000013,-0.0377891799999999,-0.460795504,-0.344415163,288.3949994,-96.3715228,-250.9757205,183.3767079,151.8368407,-0.016195596,-0.0238536509999999,-0.0191897089999999,0.00410988000000001,-0.00765861999999995,-0.066619815,-0.059084008,-0.028605085,-0.033224985,0.002633249,-0.011336431,0.010046205,-0.00107544699999999,0.038346563,0.026163594,-0.0002323479,-4.49e-08,-0.0067916189,-1.509e-07,6.578e-08,0.03430037,0.00870322699999992,0.027529065,0.040688607,0.018559013
N100,A few times per week,Moderately skilled,2.846272642,417.8737186,0.519255194,0.413749095,9.29e-05,0.066902865,0.527684465,2.787130054,902.2121512,0.536992206,0.389579578,0.008793998,0.064634315,0.485898099,2.810277223,412.0780604,0.51113338,0.405874121,0.001479229,0.081513339,0.482362688,2.88351069,386.1137725,0.514247575,0.378743137,0.001780532,0.105228802,0.505423274,2.714829963,231.7642379,0.723560378,0.275974154,8.45e-06,0.000457112,0.508225358,2.517854569,267.9022166,0.621101562,0.328602884,0.009317528,0.037222522,0.488655008,19,MALE,0,-0.0591425880000003,-0.0359954190000003,0.0372380479999999,-0.328418073,-0.131442679,186.1094807,149.971502,-484.3384326,5.79565819999999,31.7599461,0.022261191,0.039029457,0.019459107,0.041786366,0.045321777,-0.204305184,-0.101846368,-0.017737012,0.008121814,0.00500761900000002,-0.038325937,0.00226855000000001,-0.014610474,0.029680343,0.066445753,8.445e-05,-0.001687632,-0.009224628,-0.008701098,-0.001386329,0.00787497400000003,0.035005958,0.085146211,0.137774941,0.024169517
N025,A few times per week,Moderately skilled,3.42065244,544.7869077,0.370705662,0.606023868,0.014144295,0.009126264,0.501687646,3.214302847,402.9113658,0.41141268,0.561090209,0.003419553,0.024077598,0.486265925,3.200072858,440.8169993,0.451278656,0.538642312,0.003756026,0.00632307,0.462969128,3.261509835,390.6328661,0.412418469,0.576840652,0.005146869,0.005594102,0.473345207,2.847577649,379.9143727,0.489910919,0.500984589,0.002217461,0.006887096,0.506556675,2.704349278,623.6326324,0.47416524,0.491506641,0.017212657,0.003035555,0.475474556,20,MALE,1,-0.206349593,-0.220579582,-0.159142605,-0.716303162,-0.573074791,164.872535,-78.8457247,141.8755419,103.9699084,154.1540416,0.0283424390000001,0.02621309,-0.00486902899999997,0.0154217210000001,0.038718518,-0.119205257,-0.103459578,-0.040707018,-0.080572994,-0.041712807,0.003532162,-0.014951334,0.002803194,0.006090709,0.002239168,0.011926834,0.008997426,-0.003068362,0.010724742,0.010388269,0.067381556,0.029183216,0.114517227,0.105039279,0.044933659
N066,Once per week,Slightly skilled,2.92539074,374.409444,0.520929817,0.464909479,0.002041397,0.012119416,0.572100704,2.842250104,355.9910674,0.512155769,0.476780901,0.001648454,0.009414965,0.564041033,2.956544543,401.5341087,0.454293418,0.511972195,0.006515445,0.027218976,0.577647457,2.874783653,404.9818097,0.46762884,0.510485976,0.007313179,0.014572034,0.597151676,2.344957631,306.5730552,0.565861131,0.407544796,0.021668574,0.004925569,0.483915005,2.359760869,429.9754165,0.496640315,0.431876893,0.059480875,0.00700375,0.536038857,23,FEMALE,0,-0.083140636,0.031153803,-0.0506070869999999,-0.565629871,-0.580433109,67.8363888,-55.5659725,18.4183766,-27.1246647,-30.5723657,-0.0250509719999999,0.036061847,0.088185699,0.00805967100000005,-0.00554675299999996,-0.0449313140000001,0.024289502,0.00877404799999992,0.066636399,0.053300977,-0.002452618,0.002704451,-0.01509956,0.005115666,0.007193847,-0.019627177,-0.005271782,-0.057439478,0.000392943,-0.004474048,-0.047062716,-0.045576497,0.033032586,0.057364683,-0.011871422
N021,Not at all,Not skilled,3.036036705,460.8967337,0.537520702,0.377172555,0.004723688,0.069596923,0.562321904,3.030473873,522.2599588,0.538869252,0.364702116,0.007612625,0.080153925,0.55018589,3.019670785,596.1625528,0.544762999,0.356192334,0.002665848,0.096378835,0.574511177,3.227054742,625.520268,0.542194693,0.34923627,0.013855977,0.068151462,0.556233653,2.737684902,361.5950056,0.481820172,0.394781988,0.018875426,0.074133884,0.573550337,NA,NA,0.126133053,0.517988797,0.001872369,0.269410229,0.498117144,18,FEMALE,1,-0.00556283199999985,-0.0163659199999997,0.191018037,NA,-0.298351803,99.3017281,NA,-61.3632251,-135.2658191,-164.6235343,0.00608825099999999,0.06420476,-0.011228433,0.0121360140000001,-0.0121892729999999,0.05570053,0.411387649,-0.00134855,-0.00724229700000001,-0.00467399099999999,0.00144546100000001,-0.010557002,-0.026781912,-0.199813306,-0.00453696099999999,-0.014151738,-0.009132289,0.002851319,-0.002888937,0.00205784,0.020980221,0.027936285,-0.140816242,-0.017609433,0.012470439
N068,A few times per week,Extremely skilled,3.364575534,575.7587681,0.478569345,0.269744275,0.148038627,0.103647913,0.633507583,3.240332776,510.7623049,0.485918485,0.265863471,0.159977045,0.088241075,0.630392192,3.211215777,561.7079858,0.452794832,0.290119443,0.158196973,0.09888879,0.646994419,3.274092799,523.7464781,0.485868308,0.251212337,0.15645468,0.10646476,0.61981513,2.715141957,307.5150357,0.363206778,0.503219269,0.075732233,0.057841775,0.699755041,2.647793427,581.3176745,0.435816822,0.396768926,0.116999572,0.048894293,0.6799317,29,MALE,0,-0.124242758,-0.153359757,-0.0904827350000001,-0.716782107,-0.649433577,268.2437324,-5.55890639999996,64.9964632,14.0507823,52.01229,0.013692453,-0.046424117,-0.066247458,0.00311539100000002,-0.013486836,0.115362567,0.042752523,-0.00734914000000003,0.025774513,-0.00729896300000005,-0.00281684700000001,0.015406838,0.00475912299999999,0.05475362,0.045806138,0.072306394,-0.00841605300000001,0.031039055,-0.011938418,-0.010158346,-0.020375168,0.018531938,-0.127024651,-0.233474994,0.00388080399999996
N105,Once per month,Slightly skilled,3.474200981,297.4282897,0.529903978,0.421723346,0.023626265,0.024746452,0.636427251,3.319786386,287.6623941,0.577153254,0.373456057,0.017562476,0.031828241,0.623857741,3.338927255,247.9478194,0.549969934,0.41099076,0.016386332,0.02265313,0.64243909,3.396495247,308.3234361,0.565319968,0.397015698,0.010075072,0.02758936,0.616231026,3.460392143,159.6016736,0.547982823,0.404895286,0.017545969,0.029575967,0.625273237,2.865816096,410.0244543,0.536693015,0.434303887,0.015996055,0.013007101,0.63913532,20,MALE,1,-0.154414595,-0.135273726,-0.0777057340000002,-0.608384885,-0.0138088380000001,137.8266161,-112.5961646,9.76589560000002,49.4804703,-10.8951464,0.020196225,-0.00270806899999998,0.0111540139999999,0.01256951,-0.00601183900000002,-0.018078845,-0.006789037,-0.047249276,-0.0200659560000001,-0.03541599,-0.002842908,-0.007081789,0.002093322,0.011739351,-0.004829515,0.006080296,0.013551193,0.00763021,0.006063789,0.007239933,0.010732586,0.024707648,-0.012580541,0.01682806,0.048267289
N027,Every day,Very skilled,3.485754267,401.8433799,0.214030508,0.112098797,0.543422079,0.127111392,0.665296504,3.461017395,319.5212996,0.15707502,0.084342739,0.548150796,0.207490859,0.696643838,3.543170321,378.1520196,0.198357489,0.085615775,0.559433378,0.153674429,0.684932637,3.443384335,425.2130144,0.12152014,0.115956591,0.59800927,0.164514016,0.735097965,2.959852604,441.3127887,0.188188603,0.119854335,0.565153988,0.126803151,0.716257954,2.973603005,411.6379416,0.294099585,0.186786993,0.422147693,0.094965497,0.6796604,19,MALE,0,-0.0247368720000001,0.0574160539999999,-0.0423699319999997,-0.512151262,-0.525901663,-39.4694088,-9.79456169999997,82.3220803,23.6913603,-23.3696345,-0.0698014610000001,-0.0143638960000001,-0.0509614500000001,-0.031347334,-0.019636133,0.025841905,-0.080069077,0.056955488,0.015673019,0.092510368,-0.037402624,-0.080379467,-0.026563037,0.032145895,0.000308240999999987,-0.0217319090000001,-0.0545871910000001,0.121274386,-0.0047287170000001,-0.0160112990000001,0.026483022,-0.003857794,-0.074688196,-0.00775553800000001,0.027756058
