id,Easy1_mean,Easy2_mean,Moderate_mean,Difficult_mean,Posttest_mean,WMC_mean
N017,2.86633168454572,2.78549232796781,2.87493373500558,2.88022172598647,2.53420849524543,2.5389859759295
N005,3.0750267410096,2.8602330768685,2.80650802947649,2.87328250641183,2.3905625142032,2.63852872052249
N055,2.66648148045492,2.65412372070207,2.67257390413252,2.75304109534225,2.21137098950937,2.2095170084826
N016,3.74670596688364,3.72517850109916,3.74253270259538,3.70356654408668,2.89467249481104,2.77055448384621
N056,3.52773326956962,3.43728490616622,3.42195005634259,3.42410041120005,2.77291683039799,2.67342189038493
N020,3.00542315624273,2.81226070729017,2.797728362302,2.84022812517257,2.51078624146466,2.44252691199427
N061,3.37667357885165,3.34183414982298,3.32093218876922,3.22842026359498,2.77291717854706,3.41519006361111
N014,2.91794899323381,2.91581162947284,2.83005271598198,2.86663357014192,2.40154875698575,2.46037151970459
N026,3.58286089170011,3.38673711880262,3.36140172067456,3.33274053547145,2.74077576522102,2.60538184742432
N063,3.53407332548775,3.41259938186042,3.34756080414747,3.36852588802096,2.88405551305134,2.82843668295925
N018,3.53763389687658,3.57412983064516,3.48355552623027,3.56538541577581,3.07846310117787,2.94207308041226
N067,3.06593138476805,3.0371895721672,3.06490829467085,3.02825565173091,2.719155726094,2.6037926596812
N025,3.41940082150906,3.21381995007018,3.19958944549828,3.26082115804924,2.84663587520225,2.70361476098005
N066,2.92554220926077,2.84205121761134,2.95620926750495,2.87469312479536,2.34060313774091,2.35946734628895
N021,3.0351380048879,3.02988879886625,3.020250791933,3.22566269339215,2.73711039378035,NA
N068,3.36673524431682,3.23971181337368,3.20909145741184,3.27193248268483,2.69619999573571,2.64469829772262
N027,3.48358932631374,3.4677872919128,3.54619377865801,3.43758905509554,2.95666445028461,2.96807473592728
N067,3.14083577233069,3.10807938007823,3.06999888662451,3.08005210270241,2.60679579649066,2.55328243865766
N022,2.87938249375088,2.77549206285133,2.80687210045609,2.87069300834286,2.55450773572885,2.35344823278532
N069,4.07943478008227,3.95592732969836,3.91819265966007,3.93610855516855,3.22407749523703,3.08287588959849
N029,3.41339353742748,3.39799303728618,3.48076973491617,3.50138754053445,2.73163901226779,2.73544966962204
N070,3.89659896916964,3.82624278044518,4.18574080772924,4.03801789272848,3.25074266101935,3.16688418056055
N023,3.24796567288631,3.07728649565334,3.03999771223836,2.97070255712613,2.70025423460521,NA
N074,3.15184337278017,3.23018064947319,3.02658047504333,3.08694965162329,2.57925169885211,2.70270177830189
N034,2.90526658485274,3.09826924027159,3.15864127451991,3.18637065693582,2.70136523896165,2.56993592921745
N038,2.50339214341771,2.3419215584386,2.37663989469017,2.34710101462901,2.11786123116115,2.03007512547347
N071,3.43249347113782,3.34888789256746,3.26431995667213,3.25836955161827,2.76080816414599,2.77413873554017
N035,2.75804826032184,2.71464556408492,2.76944617303314,2.83308123988959,2.52336319395712,2.5142047433511
N077,3.18162282702011,3.00669040457265,3.04252350008183,3.03110327190705,2.52521213759464,2.46756893657899
N043,3.53761239083932,3.44303630049458,3.54330873281664,3.55764785943612,3.07335642615385,2.93715056696301
N076,3.33478258773585,3.239347542514,3.30398986357202,3.28335123685909,2.72737538914333,2.65529337586315
N047,2.83050126071775,2.79011584682058,2.76456163933142,2.80322417726471,2.45145525012739,2.50159564644591
N042,3.2292410212006,3.0929593172593,3.08797615878815,3.09568847785978,2.74220679245706,2.62727142794591
N051,3.29370603087949,3.27880897693721,3.33075881948818,3.33416654867808,2.80374476523395,2.79112493369577
N050,3.55895557181716,3.26693659541945,3.29446388576286,3.2795836723749,2.79509718909269,2.75302996249874
